thumbnail,x,y,tile_w,tile_h,mean_brightness,edge_mean
2400_1200.jpg,2400,1200,600,600,64.393,32.326
2600_1200.jpg,2600,1200,600,600,73.762,32.791
2800_1200.jpg,2800,1200,600,600,77.461,33.34
3000_1200.jpg,3000,1200,600,600,80.65,36.87
3200_1200.jpg,3200,1200,600,600,75.603,36.094
3400_1200.jpg,3400,1200,600,600,76.546,34.623
3600_1200.jpg,3600,1200,600,600,72.404,30.993
3800_1200.jpg,3800,1200,600,600,70.59,32.033
4000_1200.jpg,4000,1200,600,600,67.728,29.771
4200_1200.jpg,4200,1200,600,600,70.476,30.365
4400_1200.jpg,4400,1200,600,600,73.29,29.941
4600_1200.jpg,4600,1200,600,600,79.156,32.912
4800_1200.jpg,4800,1200,600,600,78.453,32.898
5000_1200.jpg,5000,1200,600,600,79.018,32.594
5200_1200.jpg,5200,1200,600,600,73.507,29.924
5400_1200.jpg,5400,1200,600,600,69.961,28.292
5600_1200.jpg,5600,1200,600,600,64.9,25.898
5800_1200.jpg,5800,1200,600,600,62.555,26.378
6000_1200.jpg,6000,1200,600,600,63.962,25.517
6200_1200.jpg,6200,1200,600,600,73.041,24.924
0_1400.jpg,0,1400,600,600,52.503,22.254
200_1400.jpg,200,1400,600,600,50.701,23.888
400_1400.jpg,400,1400,600,600,52.731,24.463
600_1400.jpg,600,1400,600,600,52.319,24.501
800_1400.jpg,800,1400,600,600,57.11,24.628
1000_1400.jpg,1000,1400,600,600,59.96,24.939
1200_1400.jpg,1200,1400,600,600,58.818,24.331
1400_1400.jpg,1400,1400,600,600,54.389,24.174
1600_1400.jpg,1600,1400,600,600,52.748,24.923
1800_1400.jpg,1800,1400,600,600,56.569,26.547
2000_1400.jpg,2000,1400,600,600,60.711,29.188
2200_1400.jpg,2200,1400,600,600,63.767,31.389
2400_1400.jpg,2400,1400,600,600,66.043,31.15
2600_1400.jpg,2600,1400,600,600,73.955,31.9
2800_1400.jpg,2800,1400,600,600,75.984,32.221
3000_1400.jpg,3000,1400,600,600,78.095,35.049
3200_1400.jpg,3200,1400,600,600,72.765,33.557
3400_1400.jpg,3400,1400,600,600,72.311,32.476
3600_1400.jpg,3600,1400,600,600,69.653,29.788
3800_1400.jpg,3800,1400,600,600,70.92,31.079
4000_1400.jpg,4000,1400,600,600,71.935,29.202
4200_1400.jpg,4200,1400,600,600,71.023,28.868
4400_1400.jpg,4400,1400,600,600,71.476,28.81
4600_1400.jpg,4600,1400,600,600,73.005,30.652
4800_1400.jpg,4800,1400,600,600,75.345,30.943
5000_1400.jpg,5000,1400,600,600,81.754,31.361
5200_1400.jpg,5200,1400,600,600,83.698,30.361
5400_1400.jpg,5400,1400,600,600,84.878,29.173
5600_1400.jpg,5600,1400,600,600,72.282,25.352
5800_1400.jpg,5800,1400,600,600,65.58,24.654
6000_1400.jpg,6000,1400,600,600,63.098,24.255
6200_1400.jpg,6200,1400,600,600,69.817,23.228
0_1600.jpg,0,1600,600,600,52.849,21.811
200_1600.jpg,200,1600,600,600,53.466,24.228
400_1600.jpg,400,1600,600,600,54.019,24.245
600_1600.jpg,600,1600,600,600,53.733,24.966
800_1600.jpg,800,1600,600,600,56.215,25.097
1000_1600.jpg,1000,1600,600,600,60.831,26.064
1200_1600.jpg,1200,1600,600,600,58.303,24.224
1400_1600.jpg,1400,1600,600,600,55.484,23.726
1600_1600.jpg,1600,1600,600,600,56.623,24.427
1800_1600.jpg,1800,1600,600,600,59.743,26.598
2000_1600.jpg,2000,1600,600,600,64.713,28.321
2200_1600.jpg,2200,1600,600,600,64.674,28.815
2400_1600.jpg,2400,1600,600,600,65.308,28.526
2600_1600.jpg,2600,1600,600,600,71.251,29.362
2800_1600.jpg,2800,1600,600,600,69.284,29.351
3000_1600.jpg,3000,1600,600,600,72.43,31.607
3200_1600.jpg,3200,1600,600,600,63.308,30.826
3400_1600.jpg,3400,1600,600,600,64.009,31.114
3600_1600.jpg,3600,1600,600,600,64.214,28.698
3800_1600.jpg,3800,1600,600,600,70.162,29.553
4000_1600.jpg,4000,1600,600,600,68.139,28.156
4200_1600.jpg,4200,1600,600,600,65.69,27.946
4400_1600.jpg,4400,1600,600,600,62.367,26.564
4600_1600.jpg,4600,1600,600,600,62.484,27.122
4800_1600.jpg,4800,1600,600,600,67.853,26.441
5000_1600.jpg,5000,1600,600,600,77.49,28.47
5200_1600.jpg,5200,1600,600,600,80.585,27.775
5400_1600.jpg,5400,1600,600,600,76.488,27.387
5600_1600.jpg,5600,1600,600,600,63.164,23.613
5800_1600.jpg,5800,1600,600,600,62.495,23.595
6000_1600.jpg,6000,1600,600,600,59.628,23.861
6200_1600.jpg,6200,1600,600,600,55.461,22.684
0_1800.jpg,0,1800,600,600,47.145,20.232
200_1800.jpg,200,1800,600,600,51.428,23.924
400_1800.jpg,400,1800,600,600,49.259,23.363
600_1800.jpg,600,1800,600,600,49.791,23.08
800_1800.jpg,800,1800,600,600,46.975,21.108
1000_1800.jpg,1000,1800,600,600,53.697,23.075
1200_1800.jpg,1200,1800,600,600,52.928,21.938
1400_1800.jpg,1400,1800,600,600,52.599,21.981
1600_1800.jpg,1600,1800,600,600,51.822,21.327
1800_1800.jpg,1800,1800,600,600,50.417,22.677
2000_1800.jpg,2000,1800,600,600,56.051,24.476
2200_1800.jpg,2200,1800,600,600,62.219,25.387
2400_1800.jpg,2400,1800,600,600,62.075,24.368
2600_1800.jpg,2600,1800,600,600,63.385,25.068
2800_1800.jpg,2800,1800,600,600,57.35,25.259
3000_1800.jpg,3000,1800,600,600,59.976,26.207
3200_1800.jpg,3200,1800,600,600,52.668,24.829
3400_1800.jpg,3400,1800,600,600,50.645,24.159
3600_1800.jpg,3600,1800,600,600,53.211,23.421
3800_1800.jpg,3800,1800,600,600,58.536,23.619
4000_1800.jpg,4000,1800,600,600,59.046,23.478
4200_1800.jpg,4200,1800,600,600,52.78,23.21
4400_1800.jpg,4400,1800,600,600,50.998,23.008
4600_1800.jpg,4600,1800,600,600,52.819,24.014
4800_1800.jpg,4800,1800,600,600,58.501,22.462
5000_1800.jpg,5000,1800,600,600,61.539,22.462
5200_1800.jpg,5200,1800,600,600,60.762,20.596
5400_1800.jpg,5400,1800,600,600,59.298,22.085
5600_1800.jpg,5600,1800,600,600,56.574,22.602
5800_1800.jpg,5800,1800,600,600,60.636,24.289
6000_1800.jpg,6000,1800,600,600,57.705,24.646
6200_1800.jpg,6200,1800,600,600,49.743,21.37
0_2000.jpg,0,2000,600,600,38.344,16.267
200_2000.jpg,200,2000,600,600,40.91,19.056
400_2000.jpg,400,2000,600,600,37.789,17.87
600_2000.jpg,600,2000,600,600,37.669,16.724
800_2000.jpg,800,2000,600,600,32.582,15.087
1000_2000.jpg,1000,2000,600,600,37.921,16.649
1200_2000.jpg,1200,2000,600,600,36.367,16.026
1400_2000.jpg,1400,2000,600,600,37.964,15.874
1600_2000.jpg,1600,2000,600,600,36.764,15.148
1800_2000.jpg,1800,2000,600,600,36.585,16.271
2000_2000.jpg,2000,2000,600,600,41.113,17.53
2200_2000.jpg,2200,2000,600,600,46.567,18.175
2400_2000.jpg,2400,2000,600,600,46.609,17.746
2600_2000.jpg,2600,2000,600,600,48.851,18.688
2800_2000.jpg,2800,2000,600,600,45.317,19.611
3000_2000.jpg,3000,2000,600,600,46.234,19.204
3200_2000.jpg,3200,2000,600,600,39.534,17.843
3400_2000.jpg,3400,2000,600,600,36.982,16.834
3600_2000.jpg,3600,2000,600,600,37.943,16.364
3800_2000.jpg,3800,2000,600,600,39.981,15.915
4000_2000.jpg,4000,2000,600,600,38.624,15.593
4200_2000.jpg,4200,2000,600,600,35.133,15.671
4400_2000.jpg,4400,2000,600,600,32.219,15.228
4600_2000.jpg,4600,2000,600,600,35.573,16.313
4800_2000.jpg,4800,2000,600,600,38.873,14.876
5000_2000.jpg,5000,2000,600,600,38.746,14.472
5200_2000.jpg,5200,2000,600,600,35.014,12.62
5400_2000.jpg,5400,2000,600,600,30.962,14.2
5600_2000.jpg,5600,2000,600,600,35.894,16.036
5800_2000.jpg,5800,2000,600,600,42.949,18.301
6000_2000.jpg,6000,2000,600,600,44.917,18.867
6200_2000.jpg,6200,2000,600,600,39.127,16.583
